zip_code,warm_season_p90_high_f
91901,95.7
91902,86.4
91905,98.21000000000001
91906,96.6
91910,80.01
91911,79.7
91917,87.2
91932,80.41000000000001
91935,87.8
91941,87.8
91942,87.8
91945,85.71000000000001
91950,83.21000000000001
91962,95.1
91977,83.91000000000001
91978,84.2
91980,96.1
92003,92.3
92004,110.5
92007,80.7
92008,87.5
92009,86.71000000000001
92011,86.6
92014,81.4
92019,92.01
92020,88.2
92021,90.81
92024,80.6
92025,93.01
92026,90.6
92027,88.31
92028,93.01
92029,89.21000000000001
92036,102.4
92040,89.2
92054,84.0
92056,86.3
92057,89.8
92058,89.3
92059,95.9
92061,94.1
92064,89.6
92065,95.2
92069,88.4
92071,90.0
92075,80.8
92078,84.51
92081,89.4
92082,94.0
92083,89.7
92084,87.0
92101,82.7
92102,83.21000000000001
92103,81.8
92105,82.41000000000001
92108,85.91000000000001
92110,83.7
92113,83.41000000000001
92114,82.21000000000001
92115,84.71000000000001
92123,84.81
92127,87.91000000000001
92154,82.01
92173,80.31
